island,area,grazing,species_richness,log_area,log_species_richness
Craigaveagh,1158.457,ungrazed,,,
Darragh,74041.985,sheep and cattle,,,
Drummond,50547.681,geese and cattle,,,
Great Minnis,14442.457,geese and cattle,,,
Green,32871.147,sheep,,,
Inishanier,23158.175,geese and sheep,,,
Inisharoan,23014.429,geese,,,
Little Minnis,14978.17,geese and cattle,,,
Parton,11815.329,ungrazed,,,
Rainey,159302.981,sheep and cattle,,,
Roe,86577.893,geese and sheep,,,
Shamrock,15401.181,ungrazed,,,
