island,area,grazing,species_richness,log_area,log_species_richness,source
Sherkin,6120000,,483,15.6270726544885,6.18001665365257,"Wright et al., 1996"
Cape Clear,6580000,,377,15.6995453033015,5.93224518744801,"Wright et al., 1996"
Clare,16000000,,329,16.5880992802041,5.79605775076537,"Wright et al., 1996"
Turk,6159000,,329,15.6334249846692,5.79605775076537,"Praeger, 1934 �406"
Inishbofin,9300000,,311,16.0455249581235,5.73979291217923,"Brodie & Sheehy Skeffington, 1990"
Island Eddy,670000,,139,13.4150329913671,4.93447393313069,"Roden & Sheehy Skeffington, 2015"
Inis Mór,30900000,,417,17.246266741868,6.0330862217988,"Webb, 1980"
Inis Meáin,9480000,,352,16.0646948742312,5.8636311755981,"Webb, 1980"
Inis Oírr,5860000,,289,15.5836601615532,5.66642668811243,"Webb, 1980"
